"","id","condition","ndoors","latency","completion","age","gender"
"1",1,"8-animals",25,52,1,37,"female"
"2",2,"8-animals",21,68,1,38,"female"
"4",4,"8-animals",43,196,0,40,"male"
"5",5,"2-animals",19,82,0,41,"male"
"6",6,"2-animals",25,NA,0,43,"male"
"7",7,"2-animals",26,54,1,34,"male"
"8",8,"8-animals",28,120,1,38,"female"
"10",10,"8-animals",23,NA,1,43,"male"
"11",11,"8-animals",47,208,1,45,"male"
"12",12,"8-animals",21,87,1,34,"male"
"13",13,"8-animals",44,240,1,45,"female"
"14",14,"2-animals",17,74,0,35,"male"
"15",15,"2-animals",10,70,1,33,"female"
"16",16,"8-animals",15,NA,1,30,"female"
"17",17,"8-animals",46,58,1,31,"male"
"18",18,"2-animals",8,96,1,47,"male"
"19",19,"2-animals",6,35,0,26,"male"
"20",20,"2-animals",8,5,1,38,"female"
"21",21,"8-animals",21,136,1,30,"female"
"22",22,"2-animals",16,59,1,27,"female"
"23",23,"8-animals",5,119,1,27,"male"
"24",24,"8-animals",36,24,1,34,"female"
"25",25,"8-animals",46,80,1,32,"male"
"26",26,"2-animals",44,184,0,44,"male"
"27",27,"2-animals",20,87,1,28,"female"
"28",28,"8-animals",43,199,1,37,"male"
"29",29,"2-animals",38,110,0,38,"female"
"30",30,"8-animals",42,111,1,42,"male"
"31",31,"2-animals",13,103,1,40,"male"
"32",32,"8-animals",38,NA,0,34,"male"
"33",33,"2-animals",17,NA,1,32,"female"
"34",34,"2-animals",14,55,0,32,"male"
"35",35,"2-animals",24,NA,1,31,"female"
"36",36,"2-animals",10,NA,1,30,"male"
"37",37,"2-animals",9,102,1,30,"male"
"38",38,"2-animals",19,NA,0,26,"male"
"39",39,"2-animals",14,NA,1,33,"female"
"40",40,"2-animals",47,NA,0,45,"male"
"41",41,"2-animals",16,93,1,43,"male"
"42",42,"8-animals",16,155,1,43,"male"
"43",43,"8-animals",40,129,1,53,"male"
"44",44,"8-animals",28,110,1,51,"female"
"45",45,"8-animals",36,136,1,56,"female"
"46",46,"8-animals",45,130,1,50,"male"
